Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
2026-03-25 8:58 PM,81,$3580.00,-$130.00,n/a,n/a,$0.00,-$1070.00,-$130.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$130.00,$20.00,$150.00,n/a,
2026-03-25 9:24 PM,82,$3455.00,-$125.00,n/a,n/a,$0.00,-$1195.00,-$125.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$125.00,$25.00,$150.00,n/a,
2026-03-26 7:21 PM,83,$3355.00,-$100.00,n/a,n/a,$0.00,-$1295.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$35.00,$135.00,n/a,
2026-03-26 10:40 PM,84,$3585.00,$230.00,n/a,n/a,$0.00,-$1065.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$40.00,$305.00,$75.00,n/a,
2026-03-26 11:29 PM,85,$3885.00,$300.00,n/a,n/a,$0.00,-$765.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$30.00,$300.00,$0.00,n/a,
2026-03-27 6:24 AM,86,$3765.00,-$120.00,n/a,n/a,$0.00,-$885.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$10.00,$130.00,n/a,
2026-03-29 8:49 PM,87,$3665.00,-$100.00,n/a,n/a,$0.00,-$985.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$95.00,$195.00,n/a,
2026-03-30 5:51 AM,88,$3545.00,-$120.00,n/a,n/a,$0.00,-$1105.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$0.00,$120.00,n/a,
2026-03-30 8:44 PM,89,$3425.00,-$120.00,n/a,n/a,$0.00,-$1225.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$70.00,$190.00,n/a,
2026-03-30 9:14 PM,90,$3300.00,-$125.00,n/a,n/a,$0.00,-$1350.00,-$125.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$125.00,$35.00,$160.00,n/a,
2026-03-31 9:00 PM,91,$3575.00,$275.00,n/a,n/a,$0.00,-$1075.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$70.00,$385.00,$110.00,n/a,
2026-03-31 11:53 PM,92,$3640.00,$65.00,n/a,n/a,$0.00,-$1010.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$10.00,$275.00,$210.00,n/a,
2026-04-01 12:12 AM,93,$3940.00,$300.00,n/a,n/a,$0.00,-$710.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$70.00,$300.00,$0.00,n/a,
2026-04-01 12:34 AM,94,$3840.00,-$100.00,n/a,n/a,$0.00,-$810.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$20.00,$120.00,n/a,
2026-04-01 5:48 AM,95,$4150.00,$310.00,n/a,n/a,$0.00,-$500.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$90.00,$310.00,$0.00,n/a,
2026-04-01 6:04 AM,96,$4050.00,-$100.00,n/a,n/a,$0.00,-$600.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$155.00,$255.00,n/a,
2026-04-01 7:51 PM,97,$4365.00,$315.00,n/a,n/a,$0.00,-$285.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$45.00,$315.00,$0.00,n/a,
2026-04-01 9:03 PM,98,$4920.00,$555.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$75.00,$555.00,$0.00,n/a,
2026-04-01 11:50 PM,99,$5220.00,$300.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$75.00,$365.00,$65.00,n/a,
2026-04-02 12:05 AM,100,$5095.00,-$125.00,n/a,n/a,$0.00,-$125.00,-$125.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$125.00,$0.00,$125.00,n/a,
2026-04-02 12:21 AM,101,$4975.00,-$120.00,n/a,n/a,$0.00,-$245.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$10.00,$130.00,n/a,
